DB-Plant-No.,Type of Plant,Type of Plant.1,Country,Parent Company,Company Code,Company,City,State,Region,Value Chain Step,Plant No.,Last Update,Status of the Plant,Parent Manufacturer,Manufacturer_A,Manufacturer_B,Year Of Start Up,Year Of Modernizing,Nominal Capacity,Process/type Of Plant,Strip Width Min.,Strip Width Max.,Strip Thickness Min.,Strip Thickness Max.,Entry: Number Of Pay-off Reels,Entry: Coil Weight Max.,Entry: Pay-off Speed Max.,Entry: Type Of Strip Accumulator,Entry: Capacity Of Accumulator,Annealing: Strip Cleaning,Annealing: Heat Cycle,Annealing: Type Of Furnace Heating,Annealing: Cooling Cycle,Annealing: Proc. Speed Min.,Annealing: Proc. Speed Max.,Exit: Number Of Tension Reels,Exit: Coil Weight Max.,Exit: Coiling Speed Max.,Exit: Type Of Strip Accumulator,Exit: Capacity Of Accumulator Max.,Processed Strip Grades A),Processed Strip Grades B),Additional Inline Equipment,Additional Information,Latitude,Longitude
Code,Code,Text,Text,Text,Code,Text,Text,Text,Text,Text,Text,Date,Text,Text,Text,Text,Number,Number,1000 T/YEAR,Text,MM,MM,MM,MM,Number,T,M/MIN,Text,M,Text,Text,Text,Text,M/MIN,M/MIN,Number,T,M/MIN,Text,M,Text,Text,Text,Text,,
14312,77,Continuous Annealing Line,United States,United States Steel Corporation,0,U.S. Steel,Fairless Hills,Pennsylvania,Northern America,Cold Strip Processing,1,2023-11-28 18:13:00,Shut Down,,,,,,280,Recrystallisation,457,965,0.18,3.8,,,,,,,,Natural Gas,,,,,,,,,,,,Stillgelegt/shut-down: 2001,40.1796,-74.8552
14323,77,Continuous Annealing Line,United States,United States Steel Corporation,0,U.S. Steel,Irvin Works,Pennsylvania,Northern America,Cold Strip Processing,1,2011-01-13 14:19:55,Operating,,,,,,265,Normalizing,610,965,0.36,0.97,,,,,,,,Natural Gas,,,,,,,,,Thin Sheet,CQ,,,40.3349,-79.9004
14389,77,Continuous Annealing Line,France,Aperam,200700,Aperam Alloys,Firminy,,Europe,Cold Strip Processing,2,2006-07-27 18:27:48,Operating,,,,,,,Bright Annealing,,720,0.05,2,,10,,,,,,,,,,,,,,,Stainless Steel,,,,45.3881,4.2872
14395,77,Continuous Annealing Line,Taiwan,Chang Mien Ind.,7400790,Chang Mien Ind.,Kaohsiung,,Asia,Cold Strip Processing,2,2001-05-10 22:02:30,Operating,Chugai Ro,Chugai Ro (JP),,2000,,80,Bright Annealing,600,1320,0.1,2,,,,,,,,,,,,,,,,,Stainless Steel,,,Chang Mien Industries Co Ltd,22.6167,120.3
14425,77,Continuous Annealing Line,Germany,C.D. Wälzholz GmbH,100790,Wickeder Westfalenstahl,Wickede,,Europe,Cold Strip Processing,1,2006-05-03 10:44:36,Operating,Ebner,Ebner (AT),,2000,,,Bright Annealing,500,1000,0.12,1.5,1,,,Not Existing,,Alkaline Cleaning + Rinsing,,,,,,1,,,Not Existing,,Stainless Steel,,,"Vertikal Durchlaufglühe mit Muffeldurchziehofen (Wasserstoffatmosphäre) und Hochleistungskühlteil_x000D_
Vertical annealing line comprising a muffle furnace (hydrogen atmosphere) and high-performance cooler_x000D_
Eingesetzte Bandgüten: Fe-Ni Stahlbänder, legierte un",51.4964,7.8658
14551,77,Continuous Annealing Line,Taiwan,China Steel Corp,7400020,China Steel Corp,Kaohsiung,,Asia,Cold Strip Processing,21,2023-10-31 09:43:23,Operating,JP Steel Plantech,JP Steel Plantech (JP),,2003,,120,Flattening Line,600,1270,0.3,0.6,1,25,,,,,,,,,80,1,25,,,,NGOES - Regular,,Coil Coating Line,"Ofenlage / type of furnace: horizontal _x000D_
Produkt: nicht kornorientiertes Elektroband_x000D_
Product: non grain oriented electrical strip_x000D_
",22.6167,120.3
14570,77,Continuous Annealing Line,China,China Baowu Steel Group,7301260,Ningbo Baoxin Stainless Steel Co. Ltd.,Ningbo,Zhejiang,Asia,Cold Strip Processing,1,2023-09-06 22:10:20,Operating,Fives Group,Fives Group (FR),Ebner (AT),2003,,70,Bright Annealing,650,1350,0.25,2,1,27,,Vertical Looper,,,,Natural Gas,Gas-Jet Cooling,,80,1,27,,Vertical Looper,,Stainless Steel,,,"Gasbeheizter vertikaler Muffelofen (CrNi Legierung), Durchmesser 1,8 m, Länge: 28 m_x000D_
vertical, gas-fired high alloy (CrNi) muffel furnace, dia.: 1,8 m, length: 28 m_x000D_
Joint Venture: Shanghai Baosteel (54%); Nisshin Steel, JP (20%)_x000D_
Inbetriebnahme/start-up:",29.89770791,121.8753424
14580,77,Continuous Annealing Line,United States,Cleveland-Cliffs,7900390,Cleveland-Cliffs,Gary,Indiana,Northern America,Cold Strip Processing,1,2002-07-17 12:50:38,Shut Down,SMS Group,Drever International (BE),,,,325,,560,965,0.18,0.48,,,,,,,,Natural Gas,,,,,,,,,Thin Sheet,,,,41.6021,-87.3371
14598,77,Continuous Annealing Line,Italy,Vobarno Nastri Special SPA,900250,Vobarno Nastri Special SPA,Vobarno,,Europe,Cold Strip Processing,1,2010-08-31 10:37:05,Shut Down,Ebner,Ebner (AT),Siemens (De),1999,,,Hardening and Tempering,50,530,0.3,3.2,4,9.5,,Looper Car,,,,Natural Gas,Metal Bath Cooling,,,4,5,,,,HSS,,Slitting + Cut-to-length Line,ex A+F L. Falck,,
14606,77,Continuous Annealing Line,China,"Outokumpu Oyj (60), China Baowu Steel Group (40)",7301200,Shanghai Krupp Stainless,Shanghai,Shanghai,Asia,Cold Strip Processing,1,2021-10-31 17:01:07,Shut Down,Andritz ,Andritz Sundwig (DE),,2001,,72,Bright Annealing,800,1350,0.2,3,,,,,,,,,,,,,,,,,Stainless Steel,,,"Shanghai Krupp Stainless (SKS)_x000D_
Eigentümer/ownership: Baosteel 40%, Outokumpu (5%), _x000D_
Inbetriebnahme/startup: Nov. 2001_x000D_
",31.1667,121.4667
14611,77,Continuous Annealing Line,Italy,Acciaieria Arvedi SpA,900830,Arinox SpA,Sestri Levante,Genova,Europe,Cold Strip Processing,2,2013-10-31 18:30:44,Operating,,,,1990,,,Bright Annealing,,650,,,,,,,,,,,,,,,,,,,Stainless Steel,,,,44.2733,9.3932
14612,77,Continuous Annealing Line,Italy,Acciaieria Arvedi SpA,900830,Arinox SpA,Sestri Levante,Genova,Europe,Cold Strip Processing,1,2013-10-31 18:37:57,Operating,,,,1990,,,Bright Annealing,,650,,,,,,,,,,,,,,,,,,,Stainless Steel,,,,44.2733,9.3932
14676,77,Continuous Annealing Line,South Korea,Posco,7100040,Posco,Gwangyang,South Jeolla,Asia,Cold Strip Processing,4,2015-02-23 18:36:42,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1997,,900,Recrystallisation,700,1900,0.4,2,2,40,,Looping Tower,,Electrolytic Cleaning + Pickling + Rinsing,Rapid Quenching + Overageing,,Gas-Jet Cooling,,430,1,40,,Looping Tower,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",HSS,,,34.94,127.69
14738,77,Continuous Annealing Line,United States,United States Steel Corporation,8000130,USS Posco Industries,Pittsburg,California,Northern America,Cold Strip Processing,2,2023-03-17 12:00:29,Operating,,,,,,380,Normalizing,560,965,0.17,0.38,,,,,,Alkaline + Brushing + Electrolytic + Rinsing,,Natural Gas,,,,,,,,,Thin Sheet,"DQ, DDQ",Tension Leveler,,38.028,-121.8847
14786,77,Continuous Annealing Line,South Korea,Posco,7100040,Posco,Gwangyang,South Jeolla,Asia,Cold Strip Processing,32,2015-02-23 18:38:06,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1992,,850,Recrystallisation,600,1270,0.2,1.2,,28,,,,,,ARTF,,,450,,28,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,,,34.94,127.69
14822,77,Continuous Annealing Line,Italy,ThyssenKrupp AG,900130,ThyssenKrupp Electrical Steel AST,Terni,,Europe,Cold Strip Processing,21,2023-11-28 18:13:00,Shut Down,Wean-Damiron,Wean-Damiron (FR),,1971,1993,,,610,1040,0.23,0.5,,,,,,,,,,,60,,,,,,Electrical Steel,,,"Eigentümer / ownership: Thyssen Krupp Electrical Steel _x000D_
Stillgelegt/shut-down: 2005, Sept.",42.5667,12.65
14823,77,Continuous Annealing Line,Italy,ThyssenKrupp AG,900130,ThyssenKrupp Electrical Steel AST,Terni,,Europe,Cold Strip Processing,24,2023-11-28 18:13:00,Shut Down,Wean-Damiron,Wean-Damiron (FR),Italimpianti (IT),1974,1992,,Flattening Line,560,1040,0.23,0.46,1,,75,,,,,,,,60,1,18,75,,,Electrical Steel,,Insulation Coating Line,"Eigentümer / ownership: Thyssen Krupp Electrical Steel _x000D_
Stillgelegt/shut-down: 2005, Sept.",42.5667,12.65
14824,77,Continuous Annealing Line,Italy,ThyssenKrupp AG,900130,ThyssenKrupp Electrical Steel AST,Terni,,Europe,Cold Strip Processing,23,2023-11-28 18:13:00,Shut Down,Wean-Damiron,Wean-Damiron (FR),Italimpianti (IT),1969,1993,,"Decarburizing, Recrystalization Line",560,1070,0.27,0.35,0.65,,115,,,,,,,,90,,18,90,,,Electrical Steel,,Insulation Coating Line,"Eigentümer / ownership: Thyssen Krupp Electrical Steel _x000D_
Stillgelegt/shut-down: 2005, Sept.",42.5667,12.65
14832,77,Continuous Annealing Line,Italy,ThyssenKrupp AG,900130,ThyssenKrupp Electrical Steel AST,Terni,,Europe,Cold Strip Processing,22,2023-11-28 18:13:00,Shut Down,Wean-Damiron,Wean-Damiron (FR),,1975,1993,,,610,1040,0.23,0.5,,,,,,,,,,,60,,,,,,Electrical Steel,,,"Eigentümer / ownership: Thyssen Krupp Electrical Steel _x000D_
Stillgelegt/shut-down: 2005, Sept.",42.5667,12.65
1485,77,Continuous Annealing Line,Germany,Outokumpu Oyj,100200,Outokumpu Nirosta GmbH,Krefeld,,Europe,Cold Strip Processing,3,2013-01-10 14:31:47,Operating,Andritz ,Andritz Sundwig (DE),,1965,1992,,Bright Annealing,500,1270,0.4,3,,24,,,,,,Electrically Heated,,,35,,24,,,,Stainless Steel,,,"ex ThyssenKrupp Nirosta_x000D_
Eigentümer/ownership: Outokumpu - 2012, Dec. 29th_x000D_
Ofenlänge/furnace length: 10 m; Länge Kühlzone/length of cooling zone: 10 m_x000D_
",51.3333,6.5667
14878,77,Continuous Annealing Line,Taiwan,Ton Yi Industrial Corporation,7400220,Ton Yi Industrial Corporation,Tainan,,Asia,Cold Strip Processing,1,2009-08-26 18:28:50,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1995,,420,Recrystallisation,600,1220,0.17,0.6,,21,,,,Alkaline + Brushing + Electrolytic + Rinsing,,ARTF,Radiant + Jet Cooler,,800,,21,,,,Thin Sheet,"DQ, DDQ",Skin Pass Mill 4-hi,Vertical furnace,22.9833,120.1833
14880,77,Continuous Annealing Line,Japan,Nippon Steel,7000270,Nippon Steel,Naoetsu,Nigata,Asia,Cold Strip Processing,1,2005-03-01 19:12:37,Operating,Ebner,Ebner (AT),,2001,,60,Bright Annealing,600,1300,0.3,2.5,,,,Looping Tower,,Alkaline Cleaning + Rinsing,,Electrically Heated,Radiant + Jet Cooler,,,,,,,,Stainless Steel,,,"Vertikaler Muffelofen, Länge 9,2 m_x000D_
vertikal muffel furnace, furnace length 9,2 m_x000D_
Eingesetzte Bandgüten: CrNi Serie 300 und 400, Nickel-Eisen (Invar) und Titan_x000D_
processed strip grades: CrNi 300 and 400 series alloys, nickel-iron  (Invar) and titanium_x000D_
Sc",37.1702,138.2421
14924,77,Continuous Annealing Line,Japan,Toyo Kohan Co. Ltd.,7000740,Toyo Kohan Co. Ltd.,Kudamatsu,Yamaguchi,Asia,Cold Strip Processing,3,2022-05-24 14:08:47,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1996,2002,430,Recrystallisation,600,1270,0.15,0.6,,,,,,,,,,,800,,,,,,Thin Sheet,"DQ, DDQ",,,34.0148,131.8701
14925,77,Continuous Annealing Line,Japan,Toyo Kohan Co. Ltd.,7000740,Toyo Kohan Co. Ltd.,Kudamatsu,Yamaguchi,Asia,Cold Strip Processing,2,2009-08-26 18:19:24,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1974,1978,,Recrystallisation,600,1270,0.15,0.6,,,,,,,,,,,540,,,,,,Thin Sheet,"DQ, DDQ",,,34.0148,131.8701
14926,77,Continuous Annealing Line,South Korea,Posco,7100040,Posco,Gwangyang,South Jeolla,Asia,Cold Strip Processing,31,2015-02-23 18:33:32,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1992,,400,Recrystallisation,600,1100,0.15,0.1,,28,,,,,,,,,450,,28,,,,Thin Sheet,"DQ, DDQ",,,34.94,127.69
14927,77,Continuous Annealing Line,South Korea,Posco,7100040,Posco,Gwangyang,South Jeolla,Asia,Cold Strip Processing,2,2015-02-23 18:11:11,Operating,Primetals Technologies,Mitsubishi Heavy Industriues (JP),,1991,2009,840,Recrystallisation,720,1570,0.4,2,,35,,,,,,ARTF,,,430,,35,,,,"CQ, DQ, DDQ, EDDQ, SEDDQ, AHSS, DP, TRIP",,,,34.94,127.69
15172,77,Continuous Annealing Line,Slovakia,United States Steel Corporation,2410500,"U.S. Steel Kosice, S.R.O.",Kosice,,Europe,Cold Strip Processing,23,2021-02-10 23:31:33,Operating,SMS Group,SMS Demag (DE),Fives Stein (FR),2004,,100,"Decarburizing, Recrystalization Line",700,1300,0.35,1,1,20,105,Horizontal Looper,,,,ARTF,,,90,,25,105,,,Electrical Steel,,Insulation Coating Line,"Decarburizing-/recrystallization line_x000D_
horizontal annealing furnace (Stein Heurtey)_x000D_
drying oven (Stein Heurtey)_x000D_
NGO  steel grade _x000D_
Eigentümer/ownership: U.S. Steel Corp. (2000, Nov.)",48.7167,21.25
15244,77,Continuous Annealing Line,Italy,ThyssenKrupp AG,900130,ThyssenKrupp Electrical Steel AST,Terni,,Europe,Cold Strip Processing,25,2023-11-28 18:13:00,Shut Down,Wean-Damiron,Wean-Damiron (FR),,1969,1991,,,600,1070,1.5,3.5,,,,,,,,,,90,,,18,,,,Electrical Steel,,,"Eigentümer / ownership: Thyssen Krupp Electrical Steel _x000D_
Stillgelegt/shut-down: 2005, Sept.",42.5667,12.65
15276,77,Continuous Annealing Line,South Korea,Samwon Precision Metals,7100300,Samwon Precision Metals,Pusan,,Asia,Cold Strip Processing,1,2006-11-23 14:42:12,Operating,,,,1997,,,Bright Annealing,,700,0.1,1.5,,8,,,,,,,,,,,8,,,,Stainless Steel,,,,35.1025,129.0349
15277,77,Continuous Annealing Line,South Korea,Samwon Precision Metals,7100300,Samwon Precision Metals,Pusan,,Asia,Cold Strip Processing,2,2003-04-09 14:13:33,Operating,,,,1997,,,Bright Annealing,350,650,0.06,0.6,,,,,,,,,,,,,9.5,,,,Stainless Steel,,,,35.1025,129.0349
